Fp2-Cz,Fp1-Cz,F8-Cz,F7-Cz,F4-Cz,F3-Cz,A2-Cz,A1-Cz,T4-Cz,T3-Cz,C4-Cz,C3-Cz,T6-Cz,T5-Cz,P4-Cz,P3-Cz,O2-Cz,O1-Cz,Fz-Cz,Cz-Cz,Pz-Cz
2.54,17.11,5.23,-3.50,9.70,-2.51,4.50,0.12,3.31,-3.62,5.80,0.82,4.73,-0.90,4.10,-1.01,2.49,2.92,0.75,0.00,2.75
2.57,17.26,5.55,-4.50,9.61,-3.40,2.21,-3.75,2.02,-6.86,4.60,0.05,2.34,-3.89,1.99,-3.35,-0.60,0.33,0.81,0.00,0.70
3.13,16.28,4.95,-2.91,9.00,-3.09,-0.62,-7.73,-0.07,-9.04,3.43,-0.44,-1.38,-6.77,-0.45,-5.29,-4.55,-2.56,0.96,0.00,-1.23
3.11,13.95,3.06,-2.41,7.61,-3.40,-2.02,-14.35,-1.49,-11.08,2.60,-1.40,-3.30,-9.23,-2.42,-7.05,-7.29,-4.95,0.31,0.00,-2.82
1.45,11.97,0.88,-3.47,6.56,-3.59,-2.61,-16.62,-2.40,-11.24,1.79,-1.68,-4.44,-9.64,-3.89,-7.60,-9.03,-5.94,-0.03,0.00,-3.09
-1.18,10.92,-0.92,-5.61,5.90,-3.92,-1.84,-14.84,-3.13,-10.60,1.20,-1.48,-4.78,-9.52,-4.86,-7.28,-9.70,-6.64,-0.03,0.00,-2.94
-3.15,10.28,-1.66,-7.96,5.12,-4.31,-0.66,-11.80,-3.25,-10.42,1.00,-1.20,-4.99,-9.42,-5.47,-6.86,-10.38,-6.64,0.14,0.00,-2.80
-4.66,9.25,-2.08,-7.41,4.09,-4.04,-0.27,-12.13,-3.43,-10.51,0.14,-0.69,-6.18,-9.57,-6.27,-7.19,-11.31,-7.05,-0.20,0.00,-3.43
-5.37,8.28,-1.66,-8.40,4.17,-4.40,2.03,-11.41,-2.33,-10.62,0.29,-0.18,-5.78,-8.79,-6.23,-7.25,-10.80,-6.34,-1.21,0.00,-3.47
-5.30,7.45,-1.18,-11.12,4.21,-6.35,4.29,-8.69,-1.40,-10.26,0.83,-0.69,-4.42,-7.66,-5.88,-7.43,-9.55,-5.79,-2.16,0.00,-3.26
-3.52,8.30,-0.06,-10.80,4.94,-6.61,2.91,-7.69,-1.68,-9.66,0.96,-1.09,-5.95,-7.15,-6.24,-8.02,-10.34,-6.24,-2.18,0.00,-3.26
-1.69,9.93,0.78,-8.40,5.51,-5.35,-1.27,-6.34,-3.62,-7.95,0.57,-0.74,-8.03,-6.70,-6.39,-8.03,-11.26,-5.96,-1.30,0.00,-3.81
-0.55,10.99,1.35,-6.76,5.76,-4.37,-6.53,-4.78,-6.12,-6.68,-0.23,-0.20,-9.92,-5.20,-6.18,-7.73,-11.69,-4.58,-1.06,0.00,-4.41
-0.36,11.38,0.27,-5.41,5.11,-4.54,-9.34,-3.62,-7.49,-5.09,-1.04,0.65,-10.45,-4.02,-5.64,-7.27,-11.64,-3.25,-1.36,0.00,-4.77
-0.85,11.31,-0.60,-3.57,4.57,-4.74,-9.16,-4.15,-7.10,-3.60,-0.95,1.21,-9.47,-2.66,-5.12,-6.01,-10.70,-1.36,-1.91,0.00,-4.28
-0.40,12.55,-0.29,-1.16,4.84,-4.19,-8.23,-4.72,-6.20,-2.99,-0.36,1.08,-7.80,-0.84,-5.05,-4.64,-9.33,0.59,-1.90,0.00,-2.89
-0.47,12.89,0.29,1.32,5.34,-3.95,-7.41,-3.87,-5.03,-2.34,0.22,0.93,-6.02,0.89,-4.30,-3.62,-7.57,2.48,-1.64,0.00,-1.42
-0.64,12.36,0.84,0.81,5.76,-4.76,-6.03,-1.46,-4.01,-1.03,0.84,0.72,-4.43,3.45,-3.05,-2.16,-5.50,4.83,-1.56,0.00,-0.23
0.13,13.37,2.00,-2.19,6.57,-5.98,-3.40,-0.82,-2.74,-0.01,1.45,0.62,-2.86,4.01,-1.68,-1.06,-3.25,6.12,-1.63,0.00,0.59
-0.22,13.87,2.45,-3.41,6.95,-6.46,-1.07,0.14,-1.55,1.13,1.55,0.80,-1.63,4.07,-0.78,-0.68,-1.67,7.35,-2.05,0.00,1.39
-0.81,12.36,2.00,-1.39,6.56,-6.52,0.61,-0.41,-1.68,1.47,1.48,1.22,-0.80,4.07,0.12,-0.67,-0.72,8.29,-2.66,0.00,1.97
-0.99,9.93,1.37,-3.53,6.50,-7.22,0.92,-2.55,-2.36,1.06,1.49,1.22,-0.50,4.73,0.93,-0.29,0.35,9.52,-3.01,0.00,2.46
-1.92,9.27,0.63,-5.36,6.28,-7.29,1.15,-4.76,-2.15,0.57,1.73,1.38,-0.16,4.80,1.37,-0.50,0.70,9.89,-2.81,0.00,3.26
-3.71,10.17,-0.48,-6.04,5.28,-7.28,-0.42,-3.97,-2.25,0.19,1.40,0.83,-1.30,3.73,0.86,-1.84,-0.03,8.48,-2.70,0.00,3.20
-5.73,10.42,-0.87,-6.83,4.53,-7.41,-1.43,0.74,-2.34,0.54,1.35,0.77,-1.33,4.62,1.36,-2.02,1.11,8.90,-3.20,0.00,3.13
-6.21,9.98,-0.25,-6.25,4.49,-6.01,-2.17,1.59,-2.55,-0.39,1.37,1.11,-1.38,4.11,1.84,-2.53,1.77,8.68,-3.03,0.00,2.55
-6.30,7.60,0.08,-9.47,4.39,-6.32,-1.35,1.02,-1.81,-2.14,1.70,0.38,-0.36,3.41,2.65,-3.02,2.50,8.53,-3.16,0.00,2.39
-7.56,3.94,-0.17,-14.03,3.93,-9.71,-0.07,2.63,-0.55,-3.03,2.34,-1.79,1.39,3.22,3.81,-3.63,3.77,8.37,-4.27,0.00,2.60
-9.93,1.36,-0.75,-15.41,3.84,-11.47,1.32,6.79,0.67,-2.37,3.52,-2.56,3.56,4.15,5.11,-3.46,5.41,8.78,-5.42,0.00,3.19
-10.53,3.66,0.16,-11.17,4.67,-10.11,4.19,10.62,2.16,-0.42,5.25,-1.33,6.45,5.40,6.41,-2.55,7.48,9.44,-4.99,0.00,4.03
-8.48,10.01,0.97,-1.96,5.39,-5.88,6.38,11.12,3.61,1.96,6.02,0.84,8.00,5.73,6.91,-2.07,8.25,9.41,-3.83,0.00,3.89
-4.18,16.57,2.25,4.56,6.66,-2.27,8.84,9.92,5.22,4.41,6.61,2.75,9.37,6.28,8.18,-0.81,9.52,10.19,-1.83,0.00,4.30
-0.71,20.09,4.18,6.17,7.80,-1.57,12.12,4.94,7.10,5.37,7.33,3.40,11.33,7.15,9.28,0.01,11.20,12.00,-0.66,0.00,4.87
0.91,20.92,5.05,5.70,8.21,-1.68,15.47,0.05,9.15,5.10,8.14,3.69,13.54,7.22,10.76,0.67,13.13,13.35,-0.23,0.00,5.86
0.86,21.07,4.62,5.84,8.14,-1.34,17.64,-2.71,10.40,5.33,8.74,4.10,14.81,6.81,12.52,1.47,15.24,13.83,-0.20,0.00,6.94
0.40,21.78,3.45,6.43,7.53,-0.87,16.79,-2.40,9.74,6.26,8.91,4.03,14.55,6.43,13.33,2.04,15.60,13.66,-0.44,0.00,7.48
-0.92,21.72,1.01,7.00,6.34,-1.46,14.01,-0.88,7.54,5.80,8.11,2.87,13.21,5.54,12.39,1.43,14.81,12.68,-0.98,0.00,7.50
-2.72,21.17,-1.76,8.95,5.11,-1.95,10.46,1.94,5.26,5.69,6.67,2.00,11.10,5.63,10.94,0.89,13.08,11.65,-1.22,0.00,7.22
-3.09,22.00,-3.50,11.64,4.40,-1.79,8.73,4.64,4.32,6.20,6.07,1.99,10.73,5.74,10.09,0.39,12.42,10.45,-1.09,0.00,7.37
-0.91,24.08,-3.15,13.04,5.24,-1.71,7.82,6.82,4.22,7.06,6.02,2.01,10.62,5.59,9.52,0.28,11.49,9.61,-0.46,0.00,7.84
0.62,25.46,-2.14,12.87,6.17,-1.48,7.99,7.69,4.56,7.50,6.06,2.03,10.57,4.95,9.39,-0.06,11.07,9.20,-0.03,0.00,8.06
0.34,24.40,-2.33,11.98,6.25,-2.28,7.38,8.63,3.72,7.27,5.94,2.51,9.80,5.51,9.54,0.14,10.94,10.33,-0.08,0.00,8.04
0.05,22.81,-2.55,11.35,6.26,-3.22,6.42,6.96,3.06,6.10,6.09,2.33,9.78,5.56,9.94,0.22,11.47,11.50,-0.14,0.00,7.59
-0.49,22.19,-2.60,12.22,6.22,-3.62,6.84,1.58,3.52,4.34,6.86,1.88,10.11,4.59,10.26,0.20,10.92,11.28,0.16,0.00,7.02
-0.56,22.65,-1.99,13.48,7.05,-3.05,8.62,-2.85,4.96,2.77,7.99,1.59,10.41,3.72,10.21,0.07,9.72,10.41,1.09,0.00,6.42
-0.16,23.52,-0.87,10.34,8.36,-3.51,11.24,-3.96,6.85,1.89,8.79,1.13,11.21,3.75,10.81,0.02,9.98,10.48,1.80,0.00,6.36
-0.33,23.90,-0.11,6.94,9.30,-4.09,13.73,-3.04,7.81,1.62,8.84,0.91,12.19,4.30,11.59,0.01,11.17,11.07,1.95,0.00,6.41
0.20,24.08,0.53,5.53,9.78,-4.45,17.96,-3.42,9.70,0.40,9.44,1.10,15.73,3.61,13.59,-0.20,13.58,11.10,2.49,0.00,7.26
1.00,24.59,0.28,6.32,9.74,-3.88,20.22,-1.97,11.07,-0.48,10.08,1.84,17.66,3.05,14.66,-0.62,14.47,10.78,2.76,0.00,8.09
1.02,24.24,-0.32,8.04,9.17,-2.64,18.74,1.13,11.05,0.23,10.36,2.98,16.61,4.57,14.18,0.28,13.40,10.84,2.56,0.00,8.39
0.42,23.37,-0.95,10.90,8.26,-1.14,17.32,3.10,10.55,0.93,10.48,4.27,15.83,5.95,13.58,1.25,12.71,11.14,2.33,0.00,8.56
-0.52,21.61,-1.23,7.00,7.04,-2.45,16.98,3.25,10.36,-0.41,10.38,3.47,16.03,6.25,13.16,1.41,13.00,10.89,1.65,0.00,8.46
-0.84,21.32,-1.65,4.34,6.64,-4.23,16.53,-0.78,9.82,-3.32,9.98,1.45,15.53,3.22,11.88,-0.04,11.82,8.44,1.12,0.00,7.62
0.21,22.55,-0.95,4.93,7.23,-3.79,14.60,-3.71,8.58,-3.82,9.67,0.65,14.02,1.40,10.81,-1.35,10.48,6.91,1.22,0.00,6.93
0.54,22.70,-0.80,6.22,7.59,-2.69,12.53,-3.43,7.30,-3.05,9.19,1.10,12.47,2.03,10.17,-1.19,10.13,7.42,1.01,0.00,6.90
-0.28,21.10,-1.97,6.31,6.72,-2.37,11.19,-3.00,5.80,-2.86,8.36,1.06,10.98,2.53,9.56,-1.05,8.95,7.10,0.73,0.00,6.33
-1.94,19.37,-4.33,3.86,5.23,-3.59,10.00,-2.13,3.97,-4.36,6.88,0.33,9.98,2.66,8.43,-1.73,7.36,6.42,-0.03,0.00,5.41
-3.28,18.13,-6.62,1.29,4.03,-4.72,8.10,0.19,1.72,-5.60,5.85,-0.41,8.85,2.86,6.98,-2.35,5.90,6.03,0.23,0.00,4.97
-4.56,16.65,-7.65,-0.95,3.50,-4.88,5.34,3.28,-0.80,-6.28,4.82,-1.29,6.74,2.15,5.29,-3.07,3.84,4.45,0.39,0.00,3.99
-6.96,14.75,-8.12,-2.96,3.13,-5.17,3.48,5.46,-2.75,-7.38,3.30,-2.59,4.89,0.86,3.55,-4.25,1.64,2.48,-0.03,0.00,2.47
-8.24,13.51,-8.20,-3.07,3.09,-4.14,1.62,6.28,-4.57,-7.22,1.82,-2.83,2.52,-0.01,1.79,-5.16,-1.11,0.88,0.51,0.00,1.27
-8.41,13.05,-7.66,-2.41,3.31,-3.71,2.12,6.85,-4.95,-6.41,1.37,-2.26,2.05,0.48,1.55,-5.27,-1.75,0.99,1.38,0.00,0.70
-7.04,14.34,-6.82,-0.75,4.17,-2.72,3.45,6.28,-4.32,-5.26,1.43,-1.62,1.93,1.28,1.25,-4.82,-1.72,0.81,2.45,0.00,-0.07
-5.60,15.52,-6.66,-1.52,5.01,-2.58,4.40,4.97,-3.77,-5.36,1.16,-1.83,1.64,1.17,0.73,-5.01,-2.00,0.43,2.81,0.00,-0.89
-4.89,15.45,-6.93,-2.76,5.44,-2.86,3.72,4.77,-3.86,-5.37,0.81,-1.93,0.44,1.12,0.35,-5.19,-2.40,0.76,3.07,0.00,-1.15
-5.33,14.32,-7.43,-2.78,5.55,-2.19,1.10,4.95,-5.10,-4.55,0.13,-1.25,-1.85,1.22,-0.60,-4.78,-3.96,1.32,3.73,0.00,-1.05
-5.12,14.26,-6.59,-1.92,6.25,-0.62,-0.75,4.76,-5.74,-3.23,-0.42,0.32,-3.40,1.44,-1.35,-3.91,-4.40,2.11,4.79,0.00,-0.45
-5.07,14.65,-7.19,-2.49,6.49,-2.13,-0.45,4.86,-5.45,-2.10,-0.87,0.25,-3.61,2.69,-1.40,-3.05,-3.63,3.58,4.93,0.00,0.69
-4.94,14.83,-7.98,-2.60,6.47,-4.49,-0.37,7.76,-5.50,-0.16,-0.98,-0.21,-3.62,5.10,-1.35,-1.85,-2.75,5.20,4.43,0.00,2.29
-5.11,15.23,-8.73,-1.88,6.57,-5.19,-2.23,9.96,-6.69,1.76,-1.13,0.40,-4.76,6.41,-1.92,-1.72,-2.97,4.86,4.91,0.00,3.02
-4.43,15.79,-8.47,-1.53,7.16,-4.66,-5.49,8.62,-7.88,1.46,-1.26,0.49,-6.13,4.83,-3.07,-2.73,-4.95,2.77,5.20,0.00,1.80
-4.39,15.01,-7.63,-0.03,7.14,-3.10,-8.68,7.41,-8.81,0.91,-1.59,0.93,-7.76,3.95,-4.31,-3.86,-6.90,1.06,5.07,0.00,0.24
-5.19,12.74,-6.46,-3.28,7.15,-3.62,-10.18,7.85,-8.98,-0.52,-0.85,0.54,-8.54,3.97,-4.50,-4.66,-7.80,0.85,4.56,0.00,-0.39
-6.50,11.31,-5.60,-9.42,6.83,-5.86,-10.43,5.57,-9.70,-2.79,-0.27,-0.84,-9.36,3.03,-5.24,-5.66,-9.19,0.31,3.89,0.00,-0.66
-8.46,11.10,-5.93,-12.48,6.02,-7.03,-10.29,-0.05,-10.15,-4.70,-0.10,-1.68,-10.18,1.67,-6.12,-6.37,-10.18,-0.15,3.22,0.00,-1.32
-10.19,10.68,-7.40,-12.67,5.03,-6.77,-10.27,-5.45,-10.13,-5.28,-0.31,-1.91,-10.68,1.10,-6.24,-6.65,-10.48,-0.40,2.45,0.00,-1.78
-10.81,8.58,-7.91,-11.31,4.80,-6.25,-8.36,-6.82,-9.08,-4.33,-0.10,-0.97,-9.38,2.09,-5.20,-5.50,-8.77,0.99,1.79,0.00,-0.87
-10.66,6.78,-7.98,-9.51,5.01,-5.52,-5.83,-5.42,-7.83,-2.35,0.29,0.08,-7.84,3.39,-4.00,-4.42,-7.07,2.31,0.84,0.00,0.10
-10.40,6.42,-6.86,-8.88,5.52,-4.92,-4.15,-3.56,-6.39,-0.56,1.68,0.92,-6.74,4.50,-3.03,-3.03,-5.90,3.35,0.16,0.00,0.66
-9.41,8.18,-4.77,-6.35,6.85,-3.14,-3.36,-3.52,-5.11,1.08,3.34,2.10,-5.84,5.20,-2.11,-1.95,-4.55,4.17,1.25,0.00,1.30
-8.61,10.25,-3.11,-3.22,7.75,-1.48,-3.06,-3.42,-4.08,2.24,3.75,2.98,-4.90,6.14,-0.93,-0.91,-3.87,5.13,2.54,0.00,2.11
-9.32,10.83,-2.80,-1.58,7.57,-1.06,-3.31,-3.60,-3.71,2.65,3.49,2.94,-4.45,6.98,-0.06,-0.78,-3.47,5.62,2.31,0.00,2.40
-10.57,10.10,-4.20,-3.40,7.13,-2.03,-3.06,-3.55,-3.58,2.30,3.10,2.08,-3.88,7.48,0.35,-0.67,-2.08,6.29,1.20,0.00,3.03
-11.33,9.29,-6.27,-4.97,6.19,-2.95,-4.11,-4.74,-4.64,1.63,2.43,1.32,-4.15,6.71,-0.15,-0.78,-2.24,6.26,-0.10,0.00,3.21
-11.89,8.90,-7.90,-4.04,5.04,-3.12,-5.01,-4.85,-5.95,1.93,1.64,1.36,-3.33,6.61,-0.43,-0.98,-1.30,6.61,-0.76,0.00,3.30
-11.24,9.23,-9.10,-2.18,3.95,-2.80,-6.61,-2.69,-7.45,2.40,0.83,1.58,-2.86,7.42,-0.71,-1.28,-0.60,6.87,-0.73,0.00,3.24
-10.20,10.59,-9.84,2.46,3.76,-0.86,-8.20,-0.73,-8.74,3.51,-0.01,2.08,-2.92,7.46,-0.66,-1.09,-0.84,6.06,-0.35,0.00,3.00
-9.73,10.04,-9.83,-1.03,3.49,-1.27,-10.68,0.38,-9.33,2.95,-0.50,1.08,-3.50,7.59,-0.68,-1.04,-1.58,5.60,-0.64,0.00,2.78
-10.73,8.45,-9.85,-5.90,2.76,-3.01,-11.93,0.53,-8.83,1.82,-0.82,-0.38,-4.03,7.06,-0.87,-1.63,-2.02,5.17,-1.17,0.00,2.66
-11.34,8.35,-9.82,-6.92,2.46,-3.39,-12.13,-0.71,-8.29,1.08,-1.01,-0.39,-4.16,4.88,-0.48,-2.96,-1.83,3.67,-0.72,0.00,2.36
-11.84,9.14,-10.68,-6.33,1.96,-2.99,-11.29,-1.60,-8.14,0.76,-1.08,0.23,-3.75,3.38,0.18,-3.46,-1.36,2.78,-0.25,0.00,1.81
-12.27,10.38,-11.49,-5.44,1.00,-2.21,-8.76,-0.39,-7.05,1.13,-0.72,1.32,-1.93,3.65,1.37,-2.97,0.18,3.38,-0.14,0.00,1.86
-12.70,10.97,-11.81,-4.53,0.35,-1.50,-5.97,-0.10,-5.92,0.83,-0.16,1.75,0.32,3.71,2.67,-2.83,2.32,3.56,-0.45,0.00,2.20
-12.31,10.36,-12.34,-3.55,0.05,-1.33,-5.23,-1.79,-5.81,-0.13,0.45,1.97,1.57,2.68,3.56,-2.42,3.55,3.22,-0.31,0.00,2.66
-11.52,7.59,-13.07,-3.52,0.04,-1.44,-7.98,-1.94,-7.03,0.14,0.56,2.76,0.79,2.52,3.64,-1.32,3.61,3.51,0.17,0.00,2.96
-10.60,5.39,-13.23,-3.25,0.36,-1.52,-10.43,-2.93,-8.07,0.66,0.43,2.88,-0.58,1.62,3.28,-1.12,2.96,2.42,0.14,0.00,2.79
-9.99,7.33,-13.06,-0.07,0.86,-0.85,-11.67,-9.15,-8.20,0.47,0.12,2.45,-1.46,0.39,2.94,-1.39,2.22,1.48,0.39,0.00,2.25
-10.31,10.23,-12.63,1.46,1.11,-0.67,-10.66,-14.15,-6.46,0.58,0.58,1.96,-0.92,-0.35,3.16,-1.94,2.57,0.99,0.51,0.00,1.99
-11.42,10.75,-12.24,-0.21,0.48,-0.77,-7.72,-13.85,-4.12,1.42,1.65,2.08,0.89,-0.15,3.93,-2.11,4.03,1.31,0.38,0.00,2.44
-12.73,9.49,-12.86,-2.52,-0.30,-0.38,-5.89,-11.78,-3.57,0.97,1.64,1.87,2.47,-0.19,4.53,-2.03,5.15,1.72,-0.59,0.00,3.20
-14.36,7.14,-15.00,-1.46,-1.10,1.38,-6.53,-10.69,-4.76,0.05,0.80,2.52,2.72,-0.91,3.95,-1.89,4.79,1.26,-1.34,0.00,3.50
-15.02,5.51,-15.93,0.72,-1.24,2.95,-7.17,-9.12,-5.88,-0.13,0.34,3.33,2.77,-0.92,3.38,-1.58,4.45,0.89,-1.25,0.00,3.47
-14.03,5.75,-16.13,0.37,-1.03,1.28,-9.13,-5.59,-7.89,0.70,-0.30,1.90,1.28,0.11,2.69,-1.91,3.68,0.82,-1.22,0.00,3.21
-12.41,6.74,-15.49,-2.14,-0.24,-1.26,-9.41,-4.39,-8.35,0.85,-0.24,0.44,0.74,0.02,2.77,-2.67,3.97,0.85,-1.25,0.00,3.43
-11.76,8.14,-14.08,-3.10,0.50,-1.73,-8.34,-5.13,-7.20,1.13,0.13,0.32,1.55,-0.84,3.28,-2.74,4.89,0.00,-0.87,0.00,3.58
-11.15,10.26,-12.39,-1.85,1.55,-0.13,-6.16,-6.41,-6.05,1.43,0.57,0.98,3.06,-1.25,4.35,-1.94,6.31,0.08,0.16,0.00,3.99
-11.19,10.94,-12.40,-0.34,1.92,1.34,-4.19,-8.52,-5.85,1.49,0.50,1.78,4.18,-0.75,4.91,-1.67,6.90,0.42,0.60,0.00,4.19
-12.11,10.67,-13.43,0.28,1.60,2.35,-2.70,-8.91,-5.87,1.67,0.64,2.28,4.80,-0.26,4.70,-1.97,7.33,0.67,0.34,0.00,4.13
-11.83,11.42,-12.40,2.24,2.13,3.63,-2.47,-6.79,-6.02,2.48,1.11,2.78,4.75,0.32,4.56,-1.64,8.00,1.05,0.57,0.00,4.12
-10.00,11.91,-10.24,2.95,3.10,3.86,-2.84,-4.38,-5.75,3.33,1.32,3.23,5.06,1.54,4.54,-1.31,8.77,2.05,1.41,0.00,4.00
-7.59,12.55,-7.99,2.43,4.59,4.01,-0.66,-1.38,-3.40,3.70,2.26,3.48,7.13,2.64,5.90,-0.66,10.53,3.35,2.40,0.00,4.03
-5.75,14.42,-5.94,2.82,5.81,4.57,1.08,-0.97,-1.29,3.59,3.14,3.78,7.62,2.74,6.61,-0.34,10.88,3.02,2.50,0.00,3.28
-6.00,14.20,-4.93,1.23,6.56,4.32,3.56,-2.89,0.07,2.19,3.74,3.88,8.50,2.18,6.66,-0.74,11.21,3.42,1.80,0.00,2.17
-7.14,13.05,-5.02,1.09,6.84,4.95,5.15,-2.66,0.67,2.53,4.07,4.65,8.66,3.14,6.61,-0.63,11.43,4.28,1.30,0.00,1.96
-6.72,12.80,-4.07,1.09,7.47,6.10,4.92,0.39,1.04,3.16,4.27,5.15,7.67,4.24,5.89,-0.61,10.23,3.95,1.78,0.00,2.42
-4.78,14.00,-2.19,2.13,8.59,6.66,4.79,4.47,1.84,3.97,4.69,5.21,7.33,4.90,5.61,-0.37,8.49,3.28,2.90,0.00,2.84
-3.20,15.60,-1.41,2.25,9.25,6.42,4.69,6.77,1.88,4.13,4.27,4.42,7.17,4.88,5.18,-0.36,7.59,2.60,3.40,0.00,2.36
